Instance type,Release Date,Instance vCPU,Platform Total Number of vCPU,Platform CPU Name,Instance Memory (in GB),Platform Memory (in GB),Storage Info (Type and Size in GB),Storage Type,Platform Storage Drive Quantity,Platform GPU Quantity,Platform GPU Name,Instance Number of GPU,Instance GPU memory (in GB),PkgWatt @ Idle,PkgWatt @ 10%,PkgWatt @ 50%,PkgWatt @ 100%,RAMWatt @ Idle,RAMWatt @ 10%,RAMWatt @ 50%,RAMWatt @ 100%,GPUWatt @ Idle,GPUWatt @ 10%,GPUWatt @ 50%,GPUWatt @ 100%,Delta Full Machine,Instance @ Idle,Instance @ 10%,Instance @ 50%,Instance @ 100%,Hardware Information on AWS Documentation & Comments
c6g.12xlarge,December 2019,48,64,Graviton2,96,128,EBS-Only,EBS,0,N/A,N/A,N/A,N/A,"13,06","35,80","84,63","114,59","19,20","28,80","38,40","57,60","0,0","0,0","0,0","0,0","22,5","54,8","87,1","145,5","194,7",AWS Graviton2 (ARM)
c6g.16xlarge,December 2019,64,64,Graviton2,128,128,EBS-Only,EBS,0,N/A,N/A,N/A,N/A,"17,42","47,74","112,84","152,78","25,60","38,40","51,20","76,80","0,0","0,0","0,0","0,0","30,0","73,0","116,1","194,0","259,6",AWS Graviton2 (ARM)
c6g.metal,December 2019,64,64,Graviton2,128,128,EBS-Only,EBS,0,N/A,N/A,N/A,N/A,"17,42","47,74","112,84","152,78","25,60","38,40","51,20","76,80","0,0","0,0","0,0","0,0","30,0","73,0","116,1","194,0","259,6",AWS Graviton2 (ARM)
c6gd.medium,December 2019,1,64,Graviton2,2,128,1 x 59 NVMe SSD,SSD,2,N/A,N/A,N/A,N/A,"0,27","0,75","1,76","2,39","0,40","0,60","0,80","1,20","0,0","0,0","0,0","0,0","0,5","1,1","1,8","3,0","4,1",AWS Graviton2 (ARM)
c6gd.large,December 2019,2,64,Graviton2,4,128,1 x 118 NVMe SSD,SSD,2,N/A,N/A,N/A,N/A,"0,54","1,49","3,53","4,77","0,80","1,20","1,60","2,40","0,0","0,0","0,0","0,0","0,9","2,3","3,6","6,1","8,1",AWS Graviton2 (ARM)
c6gd.xlarge,December 2019,4,64,Graviton2,8,128,1 x 237 NVMe SSD,SSD,2,N/A,N/A,N/A,N/A,"1,09","2,98","7,05","9,55","1,60","2,40","3,20","4,80","0,0","0,0","0,0","0,0","1,9","4,6","7,3","12,1","16,2",AWS Graviton2 (ARM)
c6gd.2xlarge,December 2019,8,64,Graviton2,16,128,1 x 474 NVMe SSD,SSD,2,N/A,N/A,N/A,N/A,"2,18","5,97","14,10","19,10","3,20","4,80","6,40","9,60","0,0","0,0","0,0","0,0","3,8","9,1","14,5","24,3","32,4",AWS Graviton2 (ARM)
c6gd.4xlarge,December 2019,16,64,Graviton2,32,128,1 x 950 NVMe SSD,SSD,2,N/A,N/A,N/A,N/A,"4,35","11,93","28,21","38,20","6,40","9,60","12,80","19,20","0,0","0,0","0,0","0,0","7,5","18,3","29,0","48,5","64,9",AWS Graviton2 (ARM)
c6gd.8xlarge,December 2019,32,64,Graviton2,64,128,1 x 1900 NVMe SSD,SSD,2,N/A,N/A,N/A,N/A,"8,71","23,87","56,42","76,39","12,80","19,20","25,60","38,40","0,0","0,0","0,0","0,0","15,0","36,5","58,1","97,0","129,8",AWS Graviton2 (ARM)
c6gd.12xlarge,December 2019,48,64,Graviton2,96,128,2 x 1425 NVMe SSD,SSD,2,N/A,N/A,N/A,N/A,"13,06","35,80","84,63","114,59","19,20","28,80","38,40","57,60","0,0","0,0","0,0","0,0","22,5","54,8","87,1","145,5","194,7",AWS Graviton2 (ARM)
